Station Name,Latitude,Longitude,Number of Bikes
"AV. PARAL.LEL, 54",41.3751145,2.1709386,3
C/ NOVA  BOCANA,41.3702483,2.1878126,11
"AV. MARQUÉS DE  L'ARGENTERA, 15",41.384844,2.185085,16
"GRAN  VIA DE LES CORTS CATALANES, 375-385",41.3757914,2.1499102,30
"C/ PUJADES, 173/RBLA POBLE NOU",41.4018686,2.20077,16
"C/ VILÀ I VILÀ, 45",41.3733857,2.1709545,4
"C/ BRUC, 20",41.3908381,2.1743743,5
"C/ SANT PERE MÉS ALT, 4",41.3871079,2.1753364,17
"AV. DIAGONAL, 26",41.4110822,2.2163136,22
"C/ CLOT, 1",41.4063864,2.1874404,12
"C/ DEL DOCTOR TRUETA, 222",41.3992169,2.2041415,22
"C/ LLEIDA, 40",41.3717304,2.1554047,4
"C/ CONSELL DE CENT, 482",41.40013,2.1780175,1
"C/ DE SANT PAU, 119/ RONDA SANT PAU",41.3754047,2.1680021,11
"C/ MADRAZO, 39",41.400305,2.149144,0
"AV. DIAGONAL, 650",41.3897943,2.1328634,0
"C/ CAMÈLIES, 73",41.4134503,2.1631012,0
"C/ MADRAZO, 131",41.3967824,2.1445567,2
"GRAN VIA DE LES CORTS CATALANES, 1157 (D)",41.4194972,2.20934,24
"RAMBLA DE PRIM, 256",41.4256626,2.2008632,12
"C/ CARME KARR, 12-14",41.3986238,2.1204941,5
"270 - CRTA. DE RIBES, 77 (TRINITAT VELLA)",41.4486328,2.1898372,6
"C/ ROC BORONAT, 134",41.4034967,2.1936584,2
"C/ AGUSTÍ DURAN I SANPERE, 10",41.3816139,2.1677697,6
MOLL ORIENTAL,41.3694508,2.1879597,16
LA BARCELONETA (CN BARCELONETA),41.3736911,2.188928,9
"C/ FELIPE II, 112",41.4219291,2.1849107,0
"C/ GAVÀ, 1",41.3723682,2.1419494,16
PL. VIRREI AMAT,41.4296439,2.174444,0
"C/ CONSELL DE CENT, 566",41.4040364,2.183145,17
"PG. D'ENRIC SANCHIS, 33",41.4339212,2.2062245,6
"C/ PUJADES, 191",41.4026275,2.2017694,11
"C/ INDEPENDÈNCIA, 379",41.4118378,2.1778852,2
"C/ PAVIA, 3",41.3734706,2.1332694,3
PG. DE COLOM (LES RAMBLES),41.37652,2.17881,8
"GRAN VIA DE LES CORTS CATALANES, 1041",41.4145805,2.2008139,4
"C/ ARAGÓ, 659 /NAVAS DE TOLOSA",41.4120681,2.1907524,14
"C/ SAGUÉS, 1",41.3937414,2.1455022,1
PG. SANT ANTONI /PL. SANTS,41.3756948,2.1358571,0
"AV. MARQUÉS DE L'ARGENTERA,13",41.384546,2.184922,8
"C/ ROSSELLÓ, 261",41.3954094,2.1599427,3
"C/ TUSET, 19",41.3960982,2.1513154,2
PL. TETUAN,41.3943454,2.1751709,3
"C/GAVÀ, 81",41.3703717,2.1389439,1
"C/ FLORIDABLANCA, 49",41.3776721,2.157233,12
PG.DE COLOM (LES RAMBLES),41.376433,2.17871,12
WORLD  TRADE CENTER,41.3718728,2.180302,14
"C/ MANSO, 46",41.377046,2.16113608,20
"C/ CASANOVA, 119",41.387888,2.1552902,9
"C/ ALMOGÀVERS, 63",41.3943033,2.1860256,16
"C/ SANT ANTONI MARIA CLARET, 214",41.4108439,2.1740575,2
"C/ HONDURAS, 32-34",41.4202459,2.1894852,1
"C/ MAIGNON, 31-41",41.4095926,2.1524953,0
"PG. BONANOVA, 100",41.400793,2.122889,2
"C/ VIRIAT,  53",41.3808222,2.141539,2
"PG. MARíTIM, 31 B (ANNEXA A LA  12)",41.3834753,2.194735,0
"C/ DE L'ESCULTOR ORDÓÑEZ, 55",41.4340849,2.1748267,3
"PG. MANUEL GIRONA, 7",41.39038,2.121,0
"C/ DE BARTRINA, 14",41.4391174,2.1858025,3
"PG. PUJADES,  1 (JUTJATS)",41.388885,2.18329,5
"PG. PUJADES, 2",41.389135,2.183489,8
"RDA. DE SANT PERE, 26",41.389492,2.17425,11
PG. MARÍTIM DE LA BARCELONETA,41.3795862,2.1925198,20
"C/ GARCILASO, 77",41.4228449,2.1866363,1
"C/ LISBOA, 1",41.429561735076526,2.1589684563445877,1
"C/ DE NIL FABRA, 16-20",41.4059356,2.1517977,0
"C/ BAILÉN, 100",41.396994,2.1706323,17
"PG. ZONA FRANCA, 244",41.36352,2.1369015,9
"RAMBLA DE L'ONZE DE SETEMBRE, 31",41.4298991,2.1932159,22
"AV. VALLCARCA, 196",41.4160558,2.1421504,1
"C/ PUJADES, 121",41.3993329,2.1974184,9
"C/ PORTUGAL, 3",41.4258248,2.191206,8
"C/ CAMÈLIES, 78",41.4145614,2.1658677,1
"AV. JOSEP TARRADELLAS, 58",41.385004,2.1429115,1
PL. UNIVERSITAT,41.385503,2.1634768,2
